Mundia,local,visitante,Link,Pais,Minuto,Sale,Entra
Mundial 1986,CoreadelSur,Bulgaria,https://www.losmundialesdefutbol.com/../partidos/1986_corea_del_sur_bulgaria.php,CoreadelSur,Minuto72,Kook_Min,Rae_Kwang
Mundial 1986,CoreadelSur,Bulgaria,https://www.losmundialesdefutbol.com/../partidos/1986_corea_del_sur_bulgaria.php,Bulgaria,Minuto46(enelentretiempo),Kostadinov_Kostadin,Iskrenov_Bozhidar
Mundial 1986,CoreadelSur,Bulgaria,https://www.losmundialesdefutbol.com/../partidos/1986_corea_del_sur_bulgaria.php,Bulgaria,Minuto58,Zhelyazkov_Andrei,Getov_Plamen
Mundial 1986,Brasil,Argelia,https://www.losmundialesdefutbol.com/../partidos/1986_brasil_argelia.php,Brasil,Minuto10,Falcao,Edson
Mundial 1986,Brasil,Argelia,https://www.losmundialesdefutbol.com/../partidos/1986_brasil_argelia.php,Brasil,Minuto59,Muller,Casagrande
Mundial 1986,Brasil,Argelia,https://www.losmundialesdefutbol.com/../partidos/1986_brasil_argelia.php,Argelia,Minuto68,Bensaoula_Tedj,Assad_Salah
Mundial 1986,Brasil,Argelia,https://www.losmundialesdefutbol.com/../partidos/1986_brasil_argelia.php,Argelia,Minuto80,Zidane_Djamel,Belloumi_Lakhdar
Mundial 1986,Hungría,Canadá,https://www.losmundialesdefutbol.com/../partidos/1986_hungria_canada.php,Hungría,Minuto28,Roth_Antal,Burcsa_Gyozo
Mundial 1986,Hungría,Canadá,https://www.losmundialesdefutbol.com/../partidos/1986_hungria_canada.php,Hungría,Minuto62,Dajka_Laszlo,Nagy_Antal
Mundial 1986,Hungría,Canadá,https://www.losmundialesdefutbol.com/../partidos/1986_hungria_canada.php,Canadá,Minuto41,Sweeney_Mike,Wilson_Bruce
Mundial 1986,Hungría,Canadá,https://www.losmundialesdefutbol.com/../partidos/1986_hungria_canada.php,Canadá,Minuto53,Segota_Branko,James_Paul
Mundial 1986,Inglaterra,Marruecos,https://www.losmundialesdefutbol.com/../partidos/1986_inglaterra_marruecos.php,Inglaterra,Minuto41,Hodge_Steve,Robson_Bryan
