Mundia,link,Etapa,Resultado,Equipo1,Equipo2,Fecha
Mundial 1990,/partidos/1990_checoslovaquia_costa_rica.php,Octavos,4-1,Checoslovaquia,CostaRica,Fecha:23-Jun-1990
Mundial 1990,/partidos/1990_brasil_argentina.php,Octavos,0-1,Brasil,Argentina,Fecha:24-Jun-1990
Mundial 1990,/partidos/1990_alemania_occidental_holanda.php,Octavos,2-1,AlemaniaOccidental,Holanda,Fecha:24-Jun-1990
Mundial 1990,/partidos/1990_irlanda_rumania.php,Octavos,0-0,Irlanda,Rumania,Fecha:25-Jun-1990
Mundial 1990,/partidos/1990_italia_uruguay.php,Octavos,2-0,Italia,Uruguay,Fecha:25-Jun-1990
Mundial 1990,/partidos/1990_espana_yugoslavia.php,Octavos,1-2,España,Yugoslavia,Fecha:26-Jun-1990
Mundial 1990,/partidos/1990_inglaterra_belgica.php,Octavos,1-0,Inglaterra,Bélgica,Fecha:26-Jun-1990
Mundial 1990,/partidos/1990_argentina_yugoslavia.php,Cuartos,0-0,Argentina,Yugoslavia,Fecha:30-Jun-1990
Mundial 1990,/partidos/1990_italia_irlanda.php,Cuartos,1-0,Italia,Irlanda,Fecha:30-Jun-1990
Mundial 1990,/partidos/1990_alemania_occidental_checoslovaquia.php,Cuartos,1-0,AlemaniaOccidental,Checoslovaquia,Fecha:01-Jul-1990
Mundial 1990,/partidos/1990_camerun_inglaterra.php,Cuartos,2-3,Camerún,Inglaterra,Fecha:01-Jul-1990
Mundial 1990,/partidos/1990_italia_argentina.php,Semis,1-1,Italia,Argentina,Fecha:03-Jul-1990
Mundial 1990,/partidos/1990_inglaterra_alemania_occidental.php,Semis,1-1,Inglaterra,AlemaniaOccidental,Fecha:04-Jul-1990
Mundial 1990,/partidos/1990_italia_inglaterra.php,3erPuesto,2-1,Italia,Inglaterra,Fecha:07-Jul-1990
Mundial 1990,/partidos/1990_argentina_alemania_occidental.php,Final,0-1,Argentina,AlemaniaOccidental,Fecha:08-Jul-1990
Mundial 1986,/partidos/1986_bulgaria_italia.php,1raRonda_GrupoA,1-1,Bulgaria,Italia,Fecha:31-May-1986
Mundial 1986,/partidos/1986_espana_brasil.php,1raRonda_GrupoD,0-1,España,Brasil,Fecha:01-Jun-1986
Mundial 1986,/partidos/1986_canada_francia.php,1raRonda_GrupoC,0-1,Canadá,Francia,Fecha:01-Jun-1986
Mundial 1986,/partidos/1986_urss_hungria.php,1raRonda_GrupoC,6-0,URSS,Hungría,Fecha:02-Jun-1986
Mundial 1986,/partidos/1986_marruecos_polonia.php,1raRonda_GrupoF,0-0,Marruecos,Polonia,Fecha:02-Jun-1986
Mundial 1986,/partidos/1986_argentina_corea_del_sur.php,1raRonda_GrupoA,3-1,Argentina,CoreadelSur,Fecha:02-Jun-1986
Mundial 1986,/partidos/1986_portugal_inglaterra.php,1raRonda_GrupoF,1-0,Portugal,Inglaterra,Fecha:03-Jun-1986
Mundial 1986,/partidos/1986_argelia_irlanda_del_norte.php,1raRonda_GrupoD,1-1,Argelia,IrlandadelNorte,Fecha:03-Jun-1986
Mundial 1986,/partidos/1986_belgica_mexico.php,1raRonda_GrupoB,1-2,Bélgica,México,Fecha:03-Jun-1986
Mundial 1986,/partidos/1986_uruguay_alemania_occidental.php,1raRonda_GrupoE,1-1,Uruguay,AlemaniaOccidental,Fecha:04-Jun-1986
Mundial 1986,/partidos/1986_paraguay_iraq.php,1raRonda_GrupoB,1-0,Paraguay,Iraq,Fecha:04-Jun-1986
Mundial 1986,/partidos/1986_escocia_dinamarca.php,1raRonda_GrupoE,0-1,Escocia,Dinamarca,Fecha:04-Jun-1986
Mundial 1986,/partidos/1986_italia_argentina.php,1raRonda_GrupoA,1-1,Italia,Argentina,Fecha:05-Jun-1986
Mundial 1986,/partidos/1986_francia_urss.php,1raRonda_GrupoC,1-1,Francia,URSS,Fecha:05-Jun-1986
Mundial 1986,/partidos/1986_corea_del_sur_bulgaria.php,1raRonda_GrupoA,1-1,CoreadelSur,Bulgaria,Fecha:05-Jun-1986
Mundial 1986,/partidos/1986_brasil_argelia.php,1raRonda_GrupoD,1-0,Brasil,Argelia,Fecha:06-Jun-1986
Mundial 1986,/partidos/1986_hungria_canada.php,1raRonda_GrupoC,2-0,Hungría,Canadá,Fecha:06-Jun-1986
Mundial 1986,/partidos/1986_inglaterra_marruecos.php,1raRonda_GrupoF,0-0,Inglaterra,Marruecos,Fecha:06-Jun-1986
Mundial 1986,/partidos/1986_polonia_portugal.php,1raRonda_GrupoF,1-0,Polonia,Portugal,Fecha:07-Jun-1986
Mundial 1986,/partidos/1986_mexico_paraguay.php,1raRonda_GrupoB,1-1,México,Paraguay,Fecha:07-Jun-1986
Mundial 1986,/partidos/1986_irlanda_del_norte_espana.php,1raRonda_GrupoD,1-2,IrlandadelNorte,España,Fecha:07-Jun-1986
Mundial 1986,/partidos/1986_alemania_occidental_escocia.php,1raRonda_GrupoE,2-1,AlemaniaOccidental,Escocia,Fecha:08-Jun-1986
Mundial 1986,/partidos/1986_dinamarca_uruguay.php,1raRonda_GrupoE,6-1,Dinamarca,Uruguay,Fecha:08-Jun-1986
Mundial 1986,/partidos/1986_iraq_belgica.php,1raRonda_GrupoB,1-2,Iraq,Bélgica,Fecha:08-Jun-1986
Mundial 1986,/partidos/1986_urss_canada.php,1raRonda_GrupoC,2-0,URSS,Canadá,Fecha:09-Jun-1986
Mundial 1986,/partidos/1986_hungria_francia.php,1raRonda_GrupoC,0-3,Hungría,Francia,Fecha:09-Jun-1986
Mundial 1986,/partidos/1986_corea_del_sur_italia.php,1raRonda_GrupoA,2-3,CoreadelSur,Italia,Fecha:10-Jun-1986
Mundial 1986,/partidos/1986_argentina_bulgaria.php,1raRonda_GrupoA,2-0,Argentina,Bulgaria,Fecha:10-Jun-1986
Mundial 1986,/partidos/1986_portugal_marruecos.php,1raRonda_GrupoF,1-3,Portugal,Marruecos,Fecha:11-Jun-1986
Mundial 1986,/partidos/1986_paraguay_belgica.php,1raRonda_GrupoB,2-2,Paraguay,Bélgica,Fecha:11-Jun-1986
Mundial 1986,/partidos/1986_inglaterra_polonia.php,1raRonda_GrupoF,3-0,Inglaterra,Polonia,Fecha:11-Jun-1986
Mundial 1986,/partidos/1986_iraq_mexico.php,1raRonda_GrupoB,0-1,Iraq,México,Fecha:11-Jun-1986
Mundial 1986,/partidos/1986_irlanda_del_norte_brasil.php,1raRonda_GrupoD,0-3,IrlandadelNorte,Brasil,Fecha:12-Jun-1986
Mundial 1986,/partidos/1986_argelia_espana.php,1raRonda_GrupoD,0-3,Argelia,España,Fecha:12-Jun-1986
Mundial 1986,/partidos/1986_dinamarca_alemania_occidental.php,1raRonda_GrupoE,2-0,Dinamarca,AlemaniaOccidental,Fecha:13-Jun-1986
Mundial 1986,/partidos/1986_escocia_uruguay.php,1raRonda_GrupoE,0-0,Escocia,Uruguay,Fecha:13-Jun-1986
Mundial 1986,/partidos/1986_urss_belgica.php,Octavos,3-4,URSS,Bélgica,Fecha:15-Jun-1986
Mundial 1986,/partidos/1986_mexico_bulgaria.php,Octavos,2-0,México,Bulgaria,Fecha:15-Jun-1986
Mundial 1986,/partidos/1986_argentina_uruguay.php,Octavos,1-0,Argentina,Uruguay,Fecha:16-Jun-1986
Mundial 1986,/partidos/1986_brasil_polonia.php,Octavos,4-0,Brasil,Polonia,Fecha:16-Jun-1986
Mundial 1986,/partidos/1986_marruecos_alemania_occidental.php,Octavos,0-1,Marruecos,AlemaniaOccidental,Fecha:17-Jun-1986
Mundial 1986,/partidos/1986_italia_francia.php,Octavos,0-2,Italia,Francia,Fecha:17-Jun-1986
Mundial 1986,/partidos/1986_dinamarca_espana.php,Octavos,1-5,Dinamarca,España,Fecha:18-Jun-1986
Mundial 1986,/partidos/1986_inglaterra_paraguay.php,Octavos,3-0,Inglaterra,Paraguay,Fecha:18-Jun-1986
Mundial 1986,/partidos/1986_mexico_alemania_occidental.php,Cuartos,0-0,México,AlemaniaOccidental,Fecha:21-Jun-1986
Mundial 1986,/partidos/1986_brasil_francia.php,Cuartos,1-1,Brasil,Francia,Fecha:21-Jun-1986
Mundial 1986,/partidos/1986_argentina_inglaterra.php,Cuartos,2-1,Argentina,Inglaterra,Fecha:22-Jun-1986
Mundial 1986,/partidos/1986_belgica_espana.php,Cuartos,1-1,Bélgica,España,Fecha:22-Jun-1986
Mundial 1986,/partidos/1986_argentina_belgica.php,Semis,2-0,Argentina,Bélgica,Fecha:25-Jun-1986
Mundial 1986,/partidos/1986_alemania_occidental_francia.php,Semis,2-0,AlemaniaOccidental,Francia,Fecha:25-Jun-1986
Mundial 1986,/partidos/1986_belgica_francia.php,3erPuesto,2-4,Bélgica,Francia,Fecha:28-Jun-1986
Mundial 1986,/partidos/1986_argentina_alemania_occidental.php,Final,3-2,Argentina,AlemaniaOccidental,Fecha:29-Jun-1986
Mundial 1982,/partidos/1982_argentina_belgica.php,1raRonda_GrupoC,0-1,Argentina,Bélgica,Fecha:13-Jun-1982
Mundial 1982,/partidos/1982_italia_polonia.php,1raRonda_GrupoA,0-0,Italia,Polonia,Fecha:14-Jun-1982
Mundial 1982,/partidos/1982_brasil_urss.php,1raRonda_GrupoF,2-1,Brasil,URSS,Fecha:14-Jun-1982
Mundial 1982,/partidos/1982_peru_camerun.php,1raRonda_GrupoA,0-0,Perú,Camerún,Fecha:15-Jun-1982
Mundial 1982,/partidos/1982_hungria_el_salvador.php,1raRonda_GrupoC,10-1,Hungría,ElSalvador,Fecha:15-Jun-1982
Mundial 1982,/partidos/1982_escocia_nueva_zelanda.php,1raRonda_GrupoF,5-2,Escocia,NuevaZelanda,Fecha:15-Jun-1982
Mundial 1982,/partidos/1982_alemania_occidental_argelia.php,1raRonda_GrupoB,1-2,AlemaniaOccidental,Argelia,Fecha:16-Jun-1982
Mundial 1982,/partidos/1982_inglaterra_francia.php,1raRonda_GrupoD,3-1,Inglaterra,Francia,Fecha:16-Jun-1982
Mundial 1982,/partidos/1982_espana_honduras.php,1raRonda_GrupoE,1-1,España,Honduras,Fecha:16-Jun-1982
Mundial 1982,/partidos/1982_yugoslavia_irlanda_del_norte.php,1raRonda_GrupoE,0-0,Yugoslavia,IrlandadelNorte,Fecha:17-Jun-1982
Mundial 1982,/partidos/1982_chile_austria.php,1raRonda_GrupoB,0-1,Chile,Austria,Fecha:17-Jun-1982
Mundial 1982,/partidos/1982_checoslovaquia_kuwait.php,1raRonda_GrupoD,1-1,Checoslovaquia,Kuwait,Fecha:17-Jun-1982
Mundial 1982,/partidos/1982_brasil_escocia.php,1raRonda_GrupoF,4-1,Brasil,Escocia,Fecha:18-Jun-1982
Mundial 1982,/partidos/1982_italia_peru.php,1raRonda_GrupoA,1-1,Italia,Perú,Fecha:18-Jun-1982
Mundial 1982,/partidos/1982_argentina_hungria.php,1raRonda_GrupoC,4-1,Argentina,Hungría,Fecha:18-Jun-1982
Mundial 1982,/partidos/1982_urss_nueva_zelanda.php,1raRonda_GrupoF,3-0,URSS,NuevaZelanda,Fecha:19-Jun-1982
Mundial 1982,/partidos/1982_belgica_el_salvador.php,1raRonda_GrupoC,1-0,Bélgica,ElSalvador,Fecha:19-Jun-1982
Mundial 1982,/partidos/1982_polonia_camerun.php,1raRonda_GrupoA,0-0,Polonia,Camerún,Fecha:19-Jun-1982
Mundial 1982,/partidos/1982_inglaterra_checoslovaquia.php,1raRonda_GrupoD,2-0,Inglaterra,Checoslovaquia,Fecha:20-Jun-1982
Mundial 1982,/partidos/1982_espana_yugoslavia.php,1raRonda_GrupoE,2-1,España,Yugoslavia,Fecha:20-Jun-1982
Mundial 1982,/partidos/1982_alemania_occidental_chile.php,1raRonda_GrupoB,4-1,AlemaniaOccidental,Chile,Fecha:20-Jun-1982
Mundial 1982,/partidos/1982_argelia_austria.php,1raRonda_GrupoB,0-2,Argelia,Austria,Fecha:21-Jun-1982
Mundial 1982,/partidos/1982_honduras_irlanda_del_norte.php,1raRonda_GrupoE,1-1,Honduras,IrlandadelNorte,Fecha:21-Jun-1982
Mundial 1982,/partidos/1982_francia_kuwait.php,1raRonda_GrupoD,4-1,Francia,Kuwait,Fecha:21-Jun-1982
Mundial 1982,/partidos/1982_belgica_hungria.php,1raRonda_GrupoC,1-1,Bélgica,Hungría,Fecha:22-Jun-1982
Mundial 1982,/partidos/1982_urss_escocia.php,1raRonda_GrupoF,2-2,URSS,Escocia,Fecha:22-Jun-1982
Mundial 1982,/partidos/1982_polonia_peru.php,1raRonda_GrupoA,5-1,Polonia,Perú,Fecha:22-Jun-1982
Mundial 1982,/partidos/1982_italia_camerun.php,1raRonda_GrupoA,1-1,Italia,Camerún,Fecha:23-Jun-1982
Mundial 1982,/partidos/1982_argentina_el_salvador.php,1raRonda_GrupoC,2-0,Argentina,ElSalvador,Fecha:23-Jun-1982
Mundial 1982,/partidos/1982_brasil_nueva_zelanda.php,1raRonda_GrupoF,4-0,Brasil,NuevaZelanda,Fecha:23-Jun-1982
Mundial 1982,/partidos/1982_francia_checoslovaquia.php,1raRonda_GrupoD,1-1,Francia,Checoslovaquia,Fecha:24-Jun-1982
Mundial 1982,/partidos/1982_honduras_yugoslavia.php,1raRonda_GrupoE,0-1,Honduras,Yugoslavia,Fecha:24-Jun-1982
Mundial 1982,/partidos/1982_argelia_chile.php,1raRonda_GrupoB,3-2,Argelia,Chile,Fecha:24-Jun-1982
Mundial 1982,/partidos/1982_irlanda_del_norte_espana.php,1raRonda_GrupoE,1-0,IrlandadelNorte,España,Fecha:25-Jun-1982
Mundial 1982,/partidos/1982_alemania_occidental_austria.php,1raRonda_GrupoB,1-0,AlemaniaOccidental,Austria,Fecha:25-Jun-1982
Mundial 1982,/partidos/1982_inglaterra_kuwait.php,1raRonda_GrupoD,1-0,Inglaterra,Kuwait,Fecha:25-Jun-1982
Mundial 1982,/partidos/1982_austria_francia.php,2daRonda_Grupo4,0-1,Austria,Francia,Fecha:28-Jun-1982
Mundial 1982,/partidos/1982_polonia_belgica.php,2daRonda_Grupo1,3-0,Polonia,Bélgica,Fecha:28-Jun-1982
Mundial 1982,/partidos/1982_alemania_occidental_inglaterra.php,2daRonda_Grupo2,0-0,AlemaniaOccidental,Inglaterra,Fecha:29-Jun-1982
Mundial 1982,/partidos/1982_italia_argentina.php,2daRonda_Grupo3,2-1,Italia,Argentina,Fecha:29-Jun-1982
Mundial 1982,/partidos/1982_belgica_urss.php,2daRonda_Grupo1,0-1,Bélgica,URSS,Fecha:01-Jul-1982
Mundial 1982,/partidos/1982_austria_irlanda_del_norte.php,2daRonda_Grupo4,2-2,Austria,IrlandadelNorte,Fecha:01-Jul-1982
Mundial 1982,/partidos/1982_alemania_occidental_espana.php,2daRonda_Grupo2,2-1,AlemaniaOccidental,España,Fecha:02-Jul-1982
Mundial 1982,/partidos/1982_argentina_brasil.php,2daRonda_Grupo3,1-3,Argentina,Brasil,Fecha:02-Jul-1982
Mundial 1982,/partidos/1982_francia_irlanda_del_norte.php,2daRonda_Grupo4,4-1,Francia,IrlandadelNorte,Fecha:04-Jul-1982
Mundial 1982,/partidos/1982_polonia_urss.php,2daRonda_Grupo1,0-0,Polonia,URSS,Fecha:04-Jul-1982
Mundial 1982,/partidos/1982_italia_brasil.php,2daRonda_Grupo3,3-2,Italia,Brasil,Fecha:05-Jul-1982
Mundial 1982,/partidos/1982_espana_inglaterra.php,2daRonda_Grupo2,0-0,España,Inglaterra,Fecha:05-Jul-1982
Mundial 1982,/partidos/1982_alemania_occidental_francia.php,Semis,3-3,AlemaniaOccidental,Francia,Fecha:08-Jul-1982
Mundial 1982,/partidos/1982_polonia_italia.php,Semis,0-2,Polonia,Italia,Fecha:08-Jul-1982
Mundial 1982,/partidos/1982_polonia_francia.php,3erPuesto,3-2,Polonia,Francia,Fecha:10-Jul-1982
Mundial 1982,/partidos/1982_italia_alemania_occidental.php,Final,3-1,Italia,AlemaniaOccidental,Fecha:11-Jul-1982
Mundial 1978,/partidos/1978_alemania_occidental_polonia.php,1raRonda_Grupo2,0-0,AlemaniaOccidental,Polonia,Fecha:01-Jun-1978
Mundial 1978,/partidos/1978_tunez_mexico.php,1raRonda_Grupo2,3-1,Túnez,México,Fecha:02-Jun-1978
Mundial 1978,/partidos/1978_italia_francia.php,1raRonda_Grupo1,2-1,Italia,Francia,Fecha:02-Jun-1978
Mundial 1978,/partidos/1978_argentina_hungria.php,1raRonda_Grupo1,2-1,Argentina,Hungría,Fecha:02-Jun-1978
Mundial 1978,/partidos/1978_holanda_iran.php,1raRonda_Grupo4,3-0,Holanda,Irán,Fecha:03-Jun-1978
Mundial 1978,/partidos/1978_austria_espana.php,1raRonda_Grupo3,2-1,Austria,España,Fecha:03-Jun-1978
Mundial 1978,/partidos/1978_peru_escocia.php,1raRonda_Grupo4,3-1,Perú,Escocia,Fecha:03-Jun-1978
Mundial 1978,/partidos/1978_suecia_brasil.php,1raRonda_Grupo3,1-1,Suecia,Brasil,Fecha:03-Jun-1978
Mundial 1978,/partidos/1978_argentina_francia.php,1raRonda_Grupo1,2-1,Argentina,Francia,Fecha:06-Jun-1978
Mundial 1978,/partidos/1978_polonia_tunez.php,1raRonda_Grupo2,1-0,Polonia,Túnez,Fecha:06-Jun-1978
Mundial 1978,/partidos/1978_italia_hungria.php,1raRonda_Grupo1,3-1,Italia,Hungría,Fecha:06-Jun-1978
Mundial 1978,/partidos/1978_alemania_occidental_mexico.php,1raRonda_Grupo2,6-0,AlemaniaOccidental,México,Fecha:06-Jun-1978
Mundial 1978,/partidos/1978_austria_suecia.php,1raRonda_Grupo3,1-0,Austria,Suecia,Fecha:07-Jun-1978
Mundial 1978,/partidos/1978_brasil_espana.php,1raRonda_Grupo3,0-0,Brasil,España,Fecha:07-Jun-1978
Mundial 1978,/partidos/1978_holanda_peru.php,1raRonda_Grupo4,0-0,Holanda,Perú,Fecha:07-Jun-1978
Mundial 1978,/partidos/1978_escocia_iran.php,1raRonda_Grupo4,1-1,Escocia,Irán,Fecha:07-Jun-1978
Mundial 1978,/partidos/1978_polonia_mexico.php,1raRonda_Grupo2,3-1,Polonia,México,Fecha:10-Jun-1978
Mundial 1978,/partidos/1978_alemania_occidental_tunez.php,1raRonda_Grupo2,0-0,AlemaniaOccidental,Túnez,Fecha:10-Jun-1978
Mundial 1978,/partidos/1978_italia_argentina.php,1raRonda_Grupo1,1-0,Italia,Argentina,Fecha:10-Jun-1978
Mundial 1978,/partidos/1978_francia_hungria.php,1raRonda_Grupo1,3-1,Francia,Hungría,Fecha:10-Jun-1978
Mundial 1978,/partidos/1978_peru_iran.php,1raRonda_Grupo4,4-1,Perú,Irán,Fecha:11-Jun-1978
Mundial 1978,/partidos/1978_brasil_austria.php,1raRonda_Grupo3,1-0,Brasil,Austria,Fecha:11-Jun-1978
Mundial 1978,/partidos/1978_escocia_holanda.php,1raRonda_Grupo4,3-2,Escocia,Holanda,Fecha:11-Jun-1978
Mundial 1978,/partidos/1978_espana_suecia.php,1raRonda_Grupo3,1-0,España,Suecia,Fecha:11-Jun-1978
Mundial 1978,/partidos/1978_holanda_austria.php,2daRonda_GrupoA,5-1,Holanda,Austria,Fecha:14-Jun-1978
Mundial 1978,/partidos/1978_brasil_peru.php,2daRonda_GrupoB,3-0,Brasil,Perú,Fecha:14-Jun-1978
Mundial 1978,/partidos/1978_argentina_polonia.php,2daRonda_GrupoB,2-0,Argentina,Polonia,Fecha:14-Jun-1978
Mundial 1978,/partidos/1978_alemania_occidental_italia.php,2daRonda_GrupoA,0-0,AlemaniaOccidental,Italia,Fecha:14-Jun-1978
Mundial 1978,/partidos/1978_italia_austria.php,2daRonda_GrupoA,1-0,Italia,Austria,Fecha:18-Jun-1978
Mundial 1978,/partidos/1978_polonia_peru.php,2daRonda_GrupoB,1-0,Polonia,Perú,Fecha:18-Jun-1978
Mundial 1978,/partidos/1978_argentina_brasil.php,2daRonda_GrupoB,0-0,Argentina,Brasil,Fecha:18-Jun-1978
Mundial 1978,/partidos/1978_alemania_occidental_holanda.php,2daRonda_GrupoA,2-2,AlemaniaOccidental,Holanda,Fecha:18-Jun-1978
Mundial 1978,/partidos/1978_brasil_polonia.php,2daRonda_GrupoB,3-1,Brasil,Polonia,Fecha:21-Jun-1978
Mundial 1978,/partidos/1978_holanda_italia.php,2daRonda_GrupoA,2-1,Holanda,Italia,Fecha:21-Jun-1978
Mundial 1978,/partidos/1978_austria_alemania_occidental.php,2daRonda_GrupoA,3-2,Austria,AlemaniaOccidental,Fecha:21-Jun-1978
Mundial 1978,/partidos/1978_argentina_peru.php,2daRonda_GrupoB,6-0,Argentina,Perú,Fecha:21-Jun-1978
Mundial 1978,/partidos/1978_brasil_italia.php,3erPuesto,2-1,Brasil,Italia,Fecha:24-Jun-1978
Mundial 1978,/partidos/1978_argentina_holanda.php,Final,3-1,Argentina,Holanda,Fecha:25-Jun-1978
Mundial 1974,/partidos/1974_brasil_yugoslavia.php,1raRonda_Grupo2,0-0,Brasil,Yugoslavia,Fecha:13-Jun-1974
Mundial 1974,/partidos/1974_alemania_occidental_chile.php,1raRonda_Grupo1,1-0,AlemaniaOccidental,Chile,Fecha:14-Jun-1974
Mundial 1974,/partidos/1974_alemania_oriental_australia.php,1raRonda_Grupo1,2-0,AlemaniaOriental,Australia,Fecha:14-Jun-1974
Mundial 1974,/partidos/1974_zaire_escocia.php,1raRonda_Grupo2,0-2,Zaire,Escocia,Fecha:14-Jun-1974
Mundial 1974,/partidos/1974_uruguay_holanda.php,1raRonda_Grupo3,0-2,Uruguay,Holanda,Fecha:15-Jun-1974
Mundial 1974,/partidos/1974_suecia_bulgaria.php,1raRonda_Grupo3,0-0,Suecia,Bulgaria,Fecha:15-Jun-1974
Mundial 1974,/partidos/1974_polonia_argentina.php,1raRonda_Grupo4,3-2,Polonia,Argentina,Fecha:15-Jun-1974
Mundial 1974,/partidos/1974_italia_haiti.php,1raRonda_Grupo4,3-1,Italia,Haití,Fecha:15-Jun-1974
Mundial 1974,/partidos/1974_australia_alemania_occidental.php,1raRonda_Grupo1,0-3,Australia,AlemaniaOccidental,Fecha:18-Jun-1974
Mundial 1974,/partidos/1974_yugoslavia_zaire.php,1raRonda_Grupo2,9-0,Yugoslavia,Zaire,Fecha:18-Jun-1974
Mundial 1974,/partidos/1974_escocia_brasil.php,1raRonda_Grupo2,0-0,Escocia,Brasil,Fecha:18-Jun-1974
Mundial 1974,/partidos/1974_chile_alemania_oriental.php,1raRonda_Grupo1,1-1,Chile,AlemaniaOriental,Fecha:18-Jun-1974
Mundial 1974,/partidos/1974_holanda_suecia.php,1raRonda_Grupo3,0-0,Holanda,Suecia,Fecha:19-Jun-1974
Mundial 1974,/partidos/1974_haiti_polonia.php,1raRonda_Grupo4,0-7,Haití,Polonia,Fecha:19-Jun-1974
Mundial 1974,/partidos/1974_bulgaria_uruguay.php,1raRonda_Grupo3,1-1,Bulgaria,Uruguay,Fecha:19-Jun-1974
Mundial 1974,/partidos/1974_argentina_italia.php,1raRonda_Grupo4,1-1,Argentina,Italia,Fecha:19-Jun-1974
Mundial 1974,/partidos/1974_zaire_brasil.php,1raRonda_Grupo2,0-3,Zaire,Brasil,Fecha:22-Jun-1974
Mundial 1974,/partidos/1974_alemania_oriental_alemania_occidental.php,1raRonda_Grupo1,1-0,AlemaniaOriental,AlemaniaOccidental,Fecha:22-Jun-1974
Mundial 1974,/partidos/1974_escocia_yugoslavia.php,1raRonda_Grupo2,1-1,Escocia,Yugoslavia,Fecha:22-Jun-1974
Mundial 1974,/partidos/1974_australia_chile.php,1raRonda_Grupo1,0-0,Australia,Chile,Fecha:22-Jun-1974
Mundial 1974,/partidos/1974_bulgaria_holanda.php,1raRonda_Grupo3,1-4,Bulgaria,Holanda,Fecha:23-Jun-1974
Mundial 1974,/partidos/1974_argentina_haiti.php,1raRonda_Grupo4,4-1,Argentina,Haití,Fecha:23-Jun-1974
Mundial 1974,/partidos/1974_suecia_uruguay.php,1raRonda_Grupo3,3-0,Suecia,Uruguay,Fecha:23-Jun-1974
Mundial 1974,/partidos/1974_polonia_italia.php,1raRonda_Grupo4,2-1,Polonia,Italia,Fecha:23-Jun-1974
Mundial 1974,/partidos/1974_suecia_polonia.php,2daRonda_GrupoB,0-1,Suecia,Polonia,Fecha:26-Jun-1974
Mundial 1974,/partidos/1974_yugoslavia_alemania_occidental.php,2daRonda_GrupoB,0-2,Yugoslavia,AlemaniaOccidental,Fecha:26-Jun-1974
Mundial 1974,/partidos/1974_holanda_argentina.php,2daRonda_GrupoA,4-0,Holanda,Argentina,Fecha:26-Jun-1974
Mundial 1974,/partidos/1974_brasil_alemania_oriental.php,2daRonda_GrupoA,1-0,Brasil,AlemaniaOriental,Fecha:26-Jun-1974
Mundial 1974,/partidos/1974_alemania_oriental_holanda.php,2daRonda_GrupoA,0-2,AlemaniaOriental,Holanda,Fecha:30-Jun-1974
Mundial 1974,/partidos/1974_polonia_yugoslavia.php,2daRonda_GrupoB,2-1,Polonia,Yugoslavia,Fecha:30-Jun-1974
Mundial 1974,/partidos/1974_argentina_brasil.php,2daRonda_GrupoA,1-2,Argentina,Brasil,Fecha:30-Jun-1974
Mundial 1974,/partidos/1974_alemania_occidental_suecia.php,2daRonda_GrupoB,4-2,AlemaniaOccidental,Suecia,Fecha:30-Jun-1974
Mundial 1974,/partidos/1974_argentina_alemania_oriental.php,2daRonda_GrupoA,1-1,Argentina,AlemaniaOriental,Fecha:03-Jul-1974
Mundial 1974,/partidos/1974_polonia_alemania_occidental.php,2daRonda_GrupoB,0-1,Polonia,AlemaniaOccidental,Fecha:03-Jul-1974
Mundial 1974,/partidos/1974_holanda_brasil.php,2daRonda_GrupoA,2-0,Holanda,Brasil,Fecha:03-Jul-1974
Mundial 1974,/partidos/1974_suecia_yugoslavia.php,2daRonda_GrupoB,2-1,Suecia,Yugoslavia,Fecha:03-Jul-1974
Mundial 1974,/partidos/1974_brasil_polonia.php,3erPuesto,0-1,Brasil,Polonia,Fecha:06-Jul-1974
Mundial 1974,/partidos/1974_holanda_alemania_occidental.php,Final,1-2,Holanda,AlemaniaOccidental,Fecha:07-Jul-1974
Mundial 1970,/partidos/1970_mexico_urss.php,1raRonda_Grupo1,0-0,México,URSS,Fecha:31-May-1970
Mundial 1970,/partidos/1970_uruguay_israel.php,1raRonda_Grupo2,2-0,Uruguay,Israel,Fecha:02-Jun-1970
Mundial 1970,/partidos/1970_peru_bulgaria.php,1raRonda_Grupo4,3-2,Perú,Bulgaria,Fecha:02-Jun-1970
Mundial 1970,/partidos/1970_inglaterra_rumania.php,1raRonda_Grupo3,1-0,Inglaterra,Rumania,Fecha:02-Jun-1970
Mundial 1970,/partidos/1970_alemania_occidental_marruecos.php,1raRonda_Grupo4,2-1,AlemaniaOccidental,Marruecos,Fecha:03-Jun-1970
Mundial 1970,/partidos/1970_belgica_el_salvador.php,1raRonda_Grupo1,3-0,Bélgica,ElSalvador,Fecha:03-Jun-1970
Mundial 1970,/partidos/1970_brasil_checoslovaquia.php,1raRonda_Grupo3,4-1,Brasil,Checoslovaquia,Fecha:03-Jun-1970
Mundial 1970,/partidos/1970_italia_suecia.php,1raRonda_Grupo2,1-0,Italia,Suecia,Fecha:03-Jun-1970
Mundial 1970,/partidos/1970_uruguay_italia.php,1raRonda_Grupo2,0-0,Uruguay,Italia,Fecha:06-Jun-1970
Mundial 1970,/partidos/1970_urss_belgica.php,1raRonda_Grupo1,4-1,URSS,Bélgica,Fecha:06-Jun-1970
Mundial 1970,/partidos/1970_rumania_checoslovaquia.php,1raRonda_Grupo3,2-1,Rumania,Checoslovaquia,Fecha:06-Jun-1970
Mundial 1970,/partidos/1970_peru_marruecos.php,1raRonda_Grupo4,3-0,Perú,Marruecos,Fecha:06-Jun-1970
